"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","aug_strength","augmentation","batch_size","dataset_path","dropout_rate","input_shape","learning_rate","num_classes","num_epochs","num_samples","scheduler_factor","scheduler_patience","use_augmentation","use_lr_scheduler","weight_decay","fold_1_val_acc","fold_2_val_acc","fold_3_val_acc","fold_4_val_acc","mean_val_acc","std_val_acc","train_acc_fold_1","train_acc_fold_2","train_acc_fold_3","train_acc_fold_4","train_loss_fold_1","train_loss_fold_2","train_loss_fold_3","train_loss_fold_4","val_acc_fold_1","val_acc_fold_2","val_acc_fold_3","val_acc_fold_4","val_loss_fold_1","val_loss_fold_2","val_loss_fold_3","val_loss_fold_4"
"2025-03-22 12:55:51","1.3min","13a109fb09b24bc99e2d189585e27ca3","trial_18","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","32","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.23174679740208065","4","False","True","0.0003323621618577034","0.54","0.535","0.57","0.58","0.55625","0.01916213714594483","0.9425","0.9366666666666666","0.93","0.9083333333333333","0.36839770793914794","0.3933932793140411","0.3726817576090495","0.47286844849586485","0.535","0.535","0.57","0.58","1.9061349821090698","1.762942361831665","1.6532168531417846","1.6289322185516357"
"2025-03-22 13:00:12","1.3min","6ab1508f9bbb4c8db4440eb1ebc013f6","trial_21","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.20826758245886617","3","False","True","0.00010453246201289328","0.55","0.5225","0.55","0.58","0.550625","0.02033892511909122","0.8725","0.8816666666666667","0.8766666666666667","0.9025","0.5540010956923167","0.5235638537009557","0.5410771246751149","0.48234845995903014","0.535","0.5225","0.55","0.56","1.8382403898239135","1.7868158745765685","1.8464500761032105","1.8164483404159546"
"2025-03-22 12:51:19","1.3min","9a0257bc60d44282b08768026668a5dd","trial_15","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.2912454526603767","5","False","True","0.00024713734815066653","0.5525","0.5525","0.515","0.5825","0.550625","0.023938397502756947","0.8941666666666667","0.8475","0.9058333333333334","0.9","0.4883866107463837","0.5663195939858755","0.4366277480125427","0.5067713791131974","0.5075","0.5525","0.48","0.5825","1.9488121700286865","1.7885628604888917","2.0944197368621826","1.4620181393623353"
"2025-03-22 12:50:01","1.3min","17c7b7b86743447cad707c179352dd22","trial_14","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.2411303003092563","5","False","True","0.0009956055660659045","0.5675","0.5375","0.53","0.5625","0.549375","0.01594668852771634","0.87","0.8658333333333333","0.8983333333333333","0.8791666666666667","0.580058597723643","0.5579931008815765","0.4997444272041321","0.5331863337755203","0.5675","0.4525","0.53","0.47","1.9061246728897094","2.086900248527527","1.8033198070526124","2.0854851174354554"
"2025-03-22 12:34:03","2.6min","d27202d17cdc47e78e974a29e2042d08","trial_6","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","4","data/preprocessed/esc50_preprocessed.npz","0.14783769837532068","(64, 501)","0.00018096","50","10","2000","0.40431401944675904","8","False","True","9.4525713910723e-06","0.5875","0.52","0.525","0.555","0.546875","0.02700549712558538","0.6183333333333333","0.6375","0.65","0.5858333333333333","1.2831158855060736","1.2578356518348057","1.2641367568075657","1.417807554602623","0.5875","0.52","0.525","0.555","1.6307513967901468","1.9591771822795272","1.9581845536828042","1.8050806853175163"
"2025-03-22 12:43:36","1.2min","3b9bfc3a88834c7daf25027f7092c49a","trial_10","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","32","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.3163775632702193","5","False","True","4.9348916471585365e-05","0.5275","0.5475","0.5225","0.585","0.545625","0.02458245054912142","0.9408333333333333","0.9425","0.9383333333333334","0.9491666666666667","0.37362593730290733","0.36364707271258034","0.344550035794576","0.34193862160046895","0.5275","0.4425","0.4925","0.57","1.8681612777709962","2.382707052230835","1.9056565284729003","1.4981388425827027"
"2025-03-22 13:11:14","1.6min","7dea31390e21488ebce821d332a0554d","trial_29","LOCAL","hyperparameter_search.py","jvitt","FAILED","","disabled","8","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.1771587831819149","4","False","True","6.445284044372381e-05","0.53","0.5275","0.51","0.58","0.536875","0.026063324327491286","0.775","0.7725","0.8041666666666667","0.7933333333333333","0.7763008709748586","0.8228680698076883","0.7635561569531759","0.7912108543515205","0.455","0.5275","0.51","0.545","2.4563836133480073","1.6918415355682372","1.903111732006073","1.814221956729889"
"2025-03-22 13:05:24","1.3min","c16e9a70b64f47babfc283a9c0bbb9f1","trial_25","LOCAL","hyperparameter_search.py","jvitt","FAILED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.20614844926949427","6","False","True","6.246074646538669e-05","0.5025","0.5225","0.5125","0.6025","0.5349999999999999","0.039607448794387184","0.8891666666666667","0.8991666666666667","0.885","0.8725","0.4937327269713084","0.4677384003003438","0.49771043042341867","0.5444705136617025","0.5","0.4025","0.5125","0.4625","2.0666309571266175","2.4620566987991332","2.025711352825165","2.365591688156128"
"2025-03-22 12:57:11","1.7min","510a1f172595493890e686943cd63c52","trial_19","LOCAL","hyperparameter_search.py","jvitt","FAILED","","disabled","8","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.2909798461516872","4","False","True","9.37571186276357e-05","0.515","0.505","0.5325","0.585","0.534375","0.0308410744786883","0.77","0.7766666666666666","0.7783333333333333","0.7858333333333334","0.8238220267494519","0.8031140144666036","0.8089340940117836","0.821802179813385","0.515","0.505","0.5325","0.4775","1.842090244293213","2.0097840464115144","1.7667393895983696","1.9848449170589446"
"2025-03-22 13:04:06","1.3min","199b12412a8e49db860f8e2dee65647e","trial_24","LOCAL","hyperparameter_search.py","jvitt","FAILED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.33303255453383857","4","False","True","0.0005094910681482276","0.5675","0.5225","0.47","0.5725","0.533125","0.041320961690164006","0.8833333333333333","0.8858333333333334","0.8658333333333333","0.9041666666666667","0.5009577079614004","0.5371880626678467","0.5360342705249787","0.4726102383931478","0.3925","0.51","0.4225","0.4975","2.8750250244140627","1.8208426570892333","2.225100214481354","2.1891150784492495"
